school_id,canonical_name
SCH001,ASYV
SCH002,CIC Muramba
SCH003,Cornerstone Leadership Academy
SCH004,ENDP Karubanda
SCH005,ES Gikonko
SCH006,ES Gisenyi
SCH007,ES Juru
SCH008,ES Kirambo
SCH009,ES Mubuga
SCH010,ES Rusumo
SCH011,ES Sancta Maria Karambo
SCH012,Es Ruhango
SCH013,Fawe Girls School Gahini
SCH014,GS Gihundwe
SCH015,GS Kinigi
SCH016,GS Maranyundo
SCH017,GS Mburabuturo
SCH018,GS Mubuga N
SCH019,GS Notre Dame Bon Conseil
SCH020,GS Nyagasambu
SCH021,GS Nyange
SCH022,GS Rambura Filles
SCH023,GS Remera Indangamirwa
SCH024,GS Remera Protestant
SCH025,GS St Paul Muko
SCH026,Gs Gihara
SCH027,Gs Gishyita
SCH028,Gs Mubuga Gakenke
SCH029,Gs Muhura
SCH030,Inyange Girls School
SCH031,Lycee Notre Dame de Citeaux
SCH032,Lycee St Jerome Janja
SCH033,Lycee de Zaza
SCH034,Maranyundo Girls School
SCH035,Ps St Jean Paul II
SCH036,Ps St Leon Kabgayi
SCH037,Rukomo Sopem
SCH038,Rwamagana Leaders School
SCH039,St Joseph Nyamasheke
SCH040,St. Matthieu Busasamana
